index,CITY,STATE,HDI,GINI,Longetivity,Education
3489,Ouro Verde,1,0.695,0.696,0.79,0.611
3511,Paial,1,0.718,0.705,0.847,0.62
3515,Painel,1,0.664,0.668,0.808,0.543
3524,Palhoça,1,0.757,0.752,0.859,0.672
3526,Palma Sola,1,0.7,0.7,0.8,0.622
3535,Palmeira,1,0.67,0.655,0.827,0.557
3553,Palmitos,1,0.737,0.757,0.836,0.632
3564,Papanduva,1,0.7,0.691,0.836,0.603
3579,Paraíso,1,0.7,0.728,0.833,0.565
3639,Passo De Torres,1,0.72,0.695,0.869,0.618
3643,Passos Maia,1,0.659,0.648,0.808,0.547
3678,Paulo Lopes,1,0.716,0.707,0.865,0.6
3708,Pedras Grandes,1,0.728,0.715,0.87,0.621
3739,Penha,1,0.743,0.739,0.867,0.64
3752,Peritiba,1,0.77,0.762,0.882,0.669
3763,Petrolândia,1,0.716,0.74,0.802,0.618
3810,Pinhalzinho,1,0.78,0.758,0.886,0.716
3817,Pinheiro Preto,1,0.777,0.762,0.866,0.712
3856,Piratuba,1,0.758,0.736,0.829,0.714
3882,Planalto Alegre,1,0.75,0.731,0.881,0.659
3906,Pomerode,1,0.78,0.78,0.886,0.687
3919,Ponte Alta,1,0.67,0.666,0.804,0.568
3921,Ponte Alta Do Norte,1,0.69,0.661,0.819,0.605
3926,Ponte Serrada,1,0.693,0.69,0.79,0.61
3954,Porto Belo,1,0.76,0.75,0.886,0.66
3977,Porto União,1,0.79,0.752,0.891,0.724
3993,Pouso Redondo,1,0.72,0.728,0.857,0.598
4002,Praia Grande,1,0.718,0.692,0.84,0.636
4015,Presidente Castello Branco,1,0.77,0.813,0.883,0.637
4021,Presidente Getúlio,1,0.759,0.764,0.874,0.654
4031,Presidente Nereu,1,0.737,0.765,0.861,0.609
4044,Princesa,1,0.706,0.701,0.82,0.611
4081,Quilombo,1,0.73,0.712,0.832,0.656
4105,Rancho Queimado,1,0.753,0.743,0.893,0.644
4203,Rio Das Antas,1,0.7,0.727,0.82,0.569
4210,Rio Do Campo,1,0.73,0.741,0.803,0.65
4212,Rio Do Oeste,1,0.754,0.769,0.892,0.625
4215,Rio Do Sul,1,0.802,0.793,0.894,0.727
4218,Rio Dos Cedros,1,0.73,0.739,0.827,0.634
4222,Rio Fortuna,1,0.81,0.848,0.85,0.727
4229,Rio Negrinho,1,0.738,0.71,0.848,0.668
4243,Rio Rufino,1,0.653,0.652,0.806,0.53
4251,Riqueza,1,0.71,0.702,0.83,0.624
4257,Rodeio,1,0.754,0.769,0.889,0.626
4268,Romelândia,1,0.69,0.738,0.8,0.561
4309,Salete,1,0.74,0.737,0.803,0.695
4323,Saltinho,1,0.654,0.639,0.795,0.551
4332,Salto Veloso,1,0.784,0.778,0.88,0.705
4343,Sangão,1,0.7,0.725,0.853,0.554
4361,Santa Cecília,1,0.698,0.697,0.819,0.597
4402,Santa Helena,1,0.727,0.705,0.833,0.653
4472,Santa Rosa De Lima,1,0.757,0.726,0.843,0.71
4476,Santa Rosa Do Sul,1,0.705,0.702,0.806,0.618
4486,Santa Terezinha,1,0.669,0.637,0.817,0.575
4492,Santa Terezinha Do Progresso,1,0.682,0.686,0.791,0.585
4529,Santiago Do Sul,1,0.728,0.731,0.811,0.652
4532,Santo Amaro Da Imperatriz,1,0.78,0.753,0.89,0.71
4593,São Bento Do Sul,1,0.782,0.763,0.871,0.719
4597,São Bernardino,1,0.677,0.653,0.822,0.577
4600,São Bonifácio,1,0.731,0.729,0.86,0.622
4610,São Carlos,1,0.769,0.763,0.867,0.688
4613,São Cristóvão Do Sul,1,0.665,0.667,0.812,0.543
4616,São Domingos,1,0.765,0.769,0.861,0.675
4660,São Francisco Do Sul,1,0.762,0.74,0.856,0.699
4686,São João Batista,1,0.74,0.739,0.865,0.634
4714,São João Do Itaperiú,1,0.738,0.714,0.873,0.645
4719,São João Do Oeste,1,0.76,0.756,0.873,0.668
4730,São João Do Sul,1,0.695,0.682,0.84,0.587
4736,São Joaquim,1,0.687,0.705,0.817,0.562
4744,São José,1,0.809,0.799,0.88,0.752
4772,São José Do Cedro,1,0.731,0.753,0.83,0.625
4773,São José Do Cerrito,1,0.636,0.618,0.827,0.503
4809,São Lourenço Do Oeste,1,0.75,0.748,0.807,0.695
4812,São Ludgero,1,0.755,0.756,0.834,0.683
4828,São Martinho,1,0.742,0.754,0.83,0.654
4836,São Miguel Da Boa Vista,1,0.71,0.733,0.795,0.615
4848,São Miguel Do Oeste,1,0.8,0.787,0.884,0.739
4868,São Pedro De Alcântara,1,0.73,0.757,0.846,0.618
4950,Saudades,1,0.755,0.723,0.85,0.7
4952,Schroeder,1,0.769,0.75,0.855,0.71
4954,Seara,1,0.779,0.804,0.872,0.674
4996,Serra Alta,1,0.773,0.758,0.879,0.694
5046,Siderópolis,1,0.774,0.751,0.88,0.701
5088,Sombrio,1,0.728,0.729,0.858,0.617
5101,Sul Brasil,1,0.71,0.713,0.832,0.595
5130,Taió,1,0.76,0.749,0.879,0.67
5143,Tangará,1,0.737,0.748,0.867,0.617
5235,Tigrinhos,1,0.72,0.688,0.846,0.633
5236,Tijucas,1,0.76,0.747,0.873,0.672
5240,Timbé Do Sul,1,0.72,0.721,0.856,0.606
5242,Timbó,1,0.784,0.807,0.856,0.697
5243,Timbó Grande,1,0.659,0.634,0.798,0.565
5282,Três Barras,1,0.706,0.677,0.814,0.639
5297,Treviso,1,0.774,0.737,0.882,0.714
5298,Treze De Maio,1,0.73,0.729,0.881,0.602
5299,Treze Tílias,1,0.795,0.838,0.874,0.685
5309,Trombudo Central,1,0.775,0.76,0.88,0.696
5310,Tubarão,1,0.8,0.788,0.866,0.74
5318,Tunápolis,1,0.752,0.728,0.83,0.704
5345,Turvo,1,0.74,0.742,0.867,0.631
5384,União Do Oeste,1,0.705,0.703,0.823,0.606
5400,Urubici,1,0.69,0.722,0.823,0.562
5411,Urupema,1,0.7,0.667,0.823,0.622
5413,Urussanga,1,0.772,0.756,0.876,0.695
5432,Vargeão,1,0.69,0.708,0.827,0.551
5434,Vargem,1,0.629,0.636,0.79,0.495
5437,Vargem Bonita,1,0.718,0.705,0.801,0.656
5501,Vidal Ramos,1,0.7,0.728,0.802,0.588
5502,Videira,1,0.764,0.772,0.857,0.675
5535,Vitor Meireles,1,0.67,0.694,0.841,0.522
5558,Witmarsum,1,0.71,0.739,0.87,0.557
5562,Xanxerê,1,0.775,0.76,0.861,0.711
5564,Xavantina,1,0.75,0.772,0.861,0.632
5565,Xaxim,1,0.752,0.737,0.871,0.662
5572,Zortéa,1,0.76,0.752,0.885,0.661
